date,date_key,year,quarter,year_quarter,month_name,is_current_quarter
2023-01-01,20230101,2023,1,2023 Q1,Jan 2023,False
2023-02-01,20230201,2023,1,2023 Q1,Feb 2023,False
2023-03-01,20230301,2023,1,2023 Q1,Mar 2023,False
2023-04-01,20230401,2023,2,2023 Q2,Apr 2023,False
2023-05-01,20230501,2023,2,2023 Q2,May 2023,False
2023-06-01,20230601,2023,2,2023 Q2,Jun 2023,False
2023-07-01,20230701,2023,3,2023 Q3,Jul 2023,False
2023-08-01,20230801,2023,3,2023 Q3,Aug 2023,False
2023-09-01,20230901,2023,3,2023 Q3,Sep 2023,False
2023-10-01,20231001,2023,4,2023 Q4,Oct 2023,False
2023-11-01,20231101,2023,4,2023 Q4,Nov 2023,False
2023-12-01,20231201,2023,4,2023 Q4,Dec 2023,False
2024-01-01,20240101,2024,1,2024 Q1,Jan 2024,False
2024-02-01,20240201,2024,1,2024 Q1,Feb 2024,False
2024-03-01,20240301,2024,1,2024 Q1,Mar 2024,False
2024-04-01,20240401,2024,2,2024 Q2,Apr 2024,False
2024-05-01,20240501,2024,2,2024 Q2,May 2024,False
2024-06-01,20240601,2024,2,2024 Q2,Jun 2024,False
2024-07-01,20240701,2024,3,2024 Q3,Jul 2024,False
2024-08-01,20240801,2024,3,2024 Q3,Aug 2024,False
2024-09-01,20240901,2024,3,2024 Q3,Sep 2024,False
2024-10-01,20241001,2024,4,2024 Q4,Oct 2024,False
2024-11-01,20241101,2024,4,2024 Q4,Nov 2024,False
2024-12-01,20241201,2024,4,2024 Q4,Dec 2024,False
2025-01-01,20250101,2025,1,2025 Q1,Jan 2025,False
2025-02-01,20250201,2025,1,2025 Q1,Feb 2025,False
2025-03-01,20250301,2025,1,2025 Q1,Mar 2025,False
2025-04-01,20250401,2025,2,2025 Q2,Apr 2025,False
2025-05-01,20250501,2025,2,2025 Q2,May 2025,False
2025-06-01,20250601,2025,2,2025 Q2,Jun 2025,False
2025-07-01,20250701,2025,3,2025 Q3,Jul 2025,False
2025-08-01,20250801,2025,3,2025 Q3,Aug 2025,False
2025-09-01,20250901,2025,3,2025 Q3,Sep 2025,False
2025-10-01,20251001,2025,4,2025 Q4,Oct 2025,False
2025-11-01,20251101,2025,4,2025 Q4,Nov 2025,False
2025-12-01,20251201,2025,4,2025 Q4,Dec 2025,False
2026-01-01,20260101,2026,1,2026 Q1,Jan 2026,True
2026-02-01,20260201,2026,1,2026 Q1,Feb 2026,True
2026-03-01,20260301,2026,1,2026 Q1,Mar 2026,True
